supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,vkn_valid
SUP079,Şafak Makine Tic.,Makine İmalat,Denizli,Micro,2008,3,5981829927,5429529.04,734151.02,12,3,187.85,190.3,200.23,206.19,2934,640,2018-05-05,2026-02-03,45,False,True
SUP001,Korutürk Aslan İplik San. Tic. Ltd. Şti.,Tekstil,Kocaeli,Medium,1976,73,4389083864,225584135.67,5492821.36,134,38,322.41,313.4,317.95,281.45,46048,6596,2018-08-02,2024-09-29,45,False,True
SUP069,Yüksel Gıda San. ve Tic. A.Ş.,Gıda ve İçecek,İstanbul,Medium,1980,54,5328986148,846785424.84,90987160.29,57,14,364.39,358.33,,,15020,800,2024-05-16,2024-12-12,45,True,True
SUP023,Aslan Karton San. Tic. Ltd. Şti.,Ambalaj,Ankara,Medium,1993,110,5558122364,855876599.06,,97,3,859.34,796.73,852.1,892.57,43972,5506,2018-05-30,2025-07-02,45,False,True
SUP013,Çorlu Oto Yedek Parça Tic.,Otomotiv Yan Sanayi,Trabzon,Small,2005,25,5627751079,13576749.61,652177.49,46,12,240.59,238.61,236.84,,4533,1056,2022-06-02,2024-11-28,30,True,False
SUP083,Bilge Sakarya Mobilya Ltd. Şti.,Mobilya,Malatya,Small,2008,35,6060983589,58302167.44,12615301.74,51,0,195.81,200.41,,204.72,11518,2998,2022-06-19,,60,True,True
SUP011,Şafak Lojistik Ltd. Şti.,Lojistik,İzmir,Micro,2015,4,7026064742,5635585.41,306730.02,8,2,128.45,130.24,132.53,126.85,514,43,2019-05-30,2026-03-06,90,False,True
SUP019,Akar Kimya Tic.,Kimya,Eskişehir,Small,2006,49,6148465645,56792831.37,11780672.82,12,1,201.76,184.38,197.24,197.37,12112,2076,2022-11-05,2025-12-02,45,False,True
SUP005,Çorlu Bilir Nakliyat Ltd. Şti.,Lojistik,Kayseri,Small,2017,41,2012269169,48559044.46,7690647.61,44,8,321.61,336.96,367.2,374.65,4804,1066,,2024-10-03,90,,True
SUP067,Hançer Gülen Karton Tic.,Ambalaj,Sakarya,Small,1995,22,3407581813,61337745.4,7785687.66,22,6,276.11,290.98,287.38,275.12,6526,1022,2020-02-11,2026-03-17,60,True,True
SUP041,Yorulmaz Bilge Elektronik Tic.,Elektronik,Trabzon,Small,2009,34,3702895178,31020620.15,6223350.13,54,8,,246.27,240.13,249.25,4412,672,2018-03-28,2026-04-20,30,False,True
SUP048,Şensoy Şama Mobilya San. Tic. Ltd. Şti.,Mobilya,Denizli,Medium,1995,206,4174612000,434326276.91,45377157.58,88,0,807.17,769.75,765.63,767.01,117795,8580,2021-03-25,2026-04-29,60,,True
SUP036,Eraslan Yaman Makine San. ve Tic. A.Ş.,Makine İmalat,Manisa,Medium,1991,56,2399049020,544415697.41,11575289.94,91,24,611.21,596.04,566.41,547.88,45683,4400,2024-07-01,2024-12-29,90,False,True
SUP073,Akçay Türk Karton Ltd. Şti.,Ambalaj,Gaziantep,Small,2012,48,3845115445,54658290.39,7622379.89,34,6,399.94,414.78,442.89,521.68,6054,873,2020-08-02,2024-11-01,90,False,True
SUP056,Hayrioğlu Mobilya San. Tic. Ltd. Şti.,Mobilya,Samsun,Medium,1994,136,6022961208,123628448.31,17316859.38,118,25,842.56,838.49,815.08,858.43,98470,13349,2016-09-13,2025-12-19,30,False,True
SUP055,Öcalan Kauçuk Tic.,Plastik ve Kauçuk,Ankara,Small,1998,19,8315851490,74895461.09,18203169.38,58,10,345.13,356.72,379.85,398.86,7429,1711,2019-06-10,2025-11-02,45,False,True
SUP034,Şensoy Soylu Mobilya Ltd. Şti.,Mobilya,Kocaeli,Small,1990,20,4281206799,15420727.39,3719848.48,37,17,257.66,219.68,,197.66,5503,1178,2022-01-17,2025-02-22,90,False,True
SUP078,Sakarya Makine San. ve Tic. A.Ş.,Makine İmalat,Antalya,Large,1983,1661,6892268018,3866034692.25,186024071.74,345,84,1981.69,2090.65,2134.11,,631231,70584,2023-08-14,2025-02-04,45,True,False
