supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,overdue_debt_ratio,debt_to_revenue_ratio,payment_default_last_3y,has_export_documentation,requires_full_upfront_payment,site_visit_verified,exports_to_eu,has_emissions_reporting_capability,period,vkn_valid
SUP030,Hayrioğlu Karadeniz Lojistik Ltd. Şti.,Lojistik,Denizli,Small,2014,17,3748467739,72842502.62,3900357.41,15,5,171.11,222.79,250.6,235.01,5264,77,2020-06-05,2026-02-23,90,False,,0.23,False,True,False,True,False,False,2025-Q4,True
SUP032,Aslan Erdoğan İplik San. ve Tic. A.Ş.,Tekstil,İstanbul,Medium,1981,184,8026217457,922087151.04,55138700.07,84,5,570.61,529.78,545.35,534.63,111256,11983,2022-01-22,2025-07-18,90,False,0.36,,False,True,False,True,False,,2025-Q2,True
SUP029,Şener Sezer Çelik Ltd. Şti.,Metal ve Çelik,Tekirdağ,Small,,10,9760385974,39682329.72,7031478.53,51,10,330.0,,385.39,411.67,2160,249,2021-04-14,2026-08-29,,False,0.3,0.51,False,True,False,True,False,False,2025-Q2,True
SUP043,Tarhan Şafak Elektrik Tic.,Elektronik,Kayseri,Small,1985,21,3961201837,79068927.87,13187055.48,37,11,242.25,236.86,225.02,215.71,14347,1362,2019-06-01,2026-05-18,90,False,0.19,0.65,False,True,False,True,False,True,2025-Q1,True
SUP042,Demir Manço Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Manisa,Small,2004,32,2983273157,77013007.23,7884853.98,15,3,196.79,181.64,198.35,232.17,2193,229,2017-06-29,2026-07-10,60,True,0.09,0.19,False,False,,True,False,False,2025-Q2,True
SUP062,Ülker Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Adana,Micro,2010,6,6625881534,3369894.07,454314.63,19,8,124.61,127.69,126.83,121.05,2612,206,2018-10-31,2024-12-18,90,False,0.13,,False,,False,True,True,False,2025-Q3,True
SUP012,Manço Bilir Kimya Ltd. Şti.,Kimya,Adana,Small,1994,37,3045053310,21773769.46,4895514.18,13,4,140.88,133.72,156.2,149.88,568,175,2022-06-25,2025-04-13,60,False,0.12,0.31,False,True,False,True,False,False,2025-Q3,True
SUP024,Arsoy Yapı Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Small,2002,47,9941343523,73256944.8,5943152.5,54,23,143.52,130.9,162.9,154.36,7696,1613,2022-11-24,2025-01-14,60,True,0.13,0.5,False,False,False,False,False,False,2025-Q4,True
SUP083,Bilge Sakarya Mobilya San. ve Tic. A.Ş.,Mobilya,Gaziantep,Medium,1985,194,4968562187,166913253.93,19734339.64,99,20,101.96,99.62,122.73,92.65,41600,11443,2022-06-19,2026-05-24,,True,0.05,0.47,,True,True,,False,False,2025-Q4,True
SUP026,İhsanoglu Tarhan Yapi Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Micro,2021,2,3328120679,,546710.28,24,4,142.89,129.82,136.03,126.74,4983,1181,2021-03-26,2026-03-09,90,False,0.25,,False,True,False,True,False,False,2025-Q1,True
SUP040,Yaman Zorlu Metal Ltd. Şti.,Metal ve Çelik,Eskişehir,Small,2018,29,8007661779,21408268.93,,11,4,105.25,123.73,119.17,122.26,3170,673,2022-11-07,2025-02-27,30,False,0.16,1.0,False,False,False,True,False,False,2025-Q2,True
SUP052,Sakarya Gıda San. ve Tic. A.Ş.,Gıda ve İçecek,İstanbul,Medium,2003,139,1606853619,886705250.55,76798116.04,59,25,754.72,743.53,719.43,813.66,17715,854,2025-04-30,2026-08-19,60,True,0.09,0.39,False,True,False,True,False,True,2025-Q3,True
SUP007,Akar Demirel Makine İmalat Ltd. Şti.,Makine İmalat,Balıkesir,Micro,2013,4,2165667019,9101490.12,3158584.0,24,14,54.58,51.78,49.54,49.8,534,47,2017-02-21,2025-11-19,30,False,0.21,0.35,True,False,True,False,False,False,2025-Q4,True
SUP071,Demirel Makine İmalat Tic.,Makine İmalat,Eskişehir,Small,1991,21,3753046371,26757916.22,4958912.82,42,22,104.21,95.31,87.07,75.53,10265,1113,2016-10-24,2024-11-04,60,False,0.28,0.28,False,True,False,False,False,False,2025-Q2,True
SUP025,Ülker Kimya Ltd. Şti.,Kimya,Kocaeli,Small,1992,14,7719022941,,3951609.49,11,3,229.79,213.63,219.13,209.79,1441,134,2022-09-26,2025-02-19,30,,0.14,0.45,False,True,False,True,False,False,2025-Q2,True
SUP003,Korutürk Makine İmalat San. Tic. Ltd. Şti.,Makine İmalat,Kocaeli,Medium,1995,152,5139537675,671480459.38,55562250.81,131,48,134.23,149.15,168.79,161.74,95289,2163,2018-06-08,2026-02-17,45,,0.11,0.07,False,True,True,True,False,True,2025-Q3,True
SUP034,Şensoy Soylu Mobilya Tic.,Mobilya,,Small,,28,9212594648,25756241.96,4615780.06,51,12,95.76,93.74,,82.08,14353,2022,2022-01-17,,90,False,0.17,0.11,False,True,False,True,False,False,2025-Q2,False
SUP071,Demirel Makine İmalat Tic.,Makine İmalat,Eskişehir,Small,1991,21,3753046371,26757916.22,5870382.43,46,30,101.31,95.34,94.56,68.05,9771,1036,2016-10-24,2024-11-04,60,False,0.31,0.15,False,True,False,False,False,False,2025-Q4,True
SUP012,Manco Bilir Kimya Ltd. Şti.,Kimya,Adana,Small,1994,37,3045053310,21773769.46,4870864.67,14,4,142.09,141.01,164.16,,572,207,2022-06-25,2025-04-13,60,False,0.15,0.31,False,True,False,True,False,False,2025-Q4,True
SUP010,Sezgin Mobilya Holding A.Ş.,Mobilya,Konya,Large,1998,547,1799118380,5335670572.32,194441806.16,226,10,3023.66,2816.31,2876.76,2973.56,687040,111563,2016-10-20,2026-04-22,60,True,,0.39,False,True,False,True,False,True,2025-Q1,True
SUP026,İhsanoglu Tarhan Yapi Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Micro,2021,2,3328120679,2644027.8,531106.58,25,3,129.26,132.11,125.86,126.0,5664,,2021-03-26,,90,False,0.16,0.29,False,True,False,True,False,False,2025-Q4,True
SUP056,Hayrioğlu Soylu Nakliyat Grup A.Ş.,Lojistik,Denizli,Large,1961,2282,8584161691,5528303491.61,146269607.17,342,101,293.75,289.3,296.1,292.74,345618,339,2016-09-13,2025-12-19,45,True,,0.31,False,True,False,True,False,True,2025-Q1,True
SUP081,Gül Yorulmaz Konfeksiyon Ltd. Şti.,Tekstil,Samsun,Small,2012,21,2182339848,65486742.5,9395889.63,47,2,,245.56,,,11717,739,2024-08-20,,60,False,0.16,0.5,False,False,False,False,False,False,2025-Q2,True
SUP035,Çamurcuoğlu Şensoy Yapı Tic.,İnşaat Malzemeleri,Ankara,Micro,2007,6,4394210472,5933265.58,1420553.48,20,1,55.64,52.59,50.46,62.01,1037,130,2023-06-04,2026-07-29,30,False,0.2,0.97,False,,False,,False,False,2025-Q2,True
SUP060,Gul İcecek San. ve Tic. A.Ş.,Gıda ve İçecek,Çorum,Large,1999,2508,3268018242,7997165307.54,503950290.11,132,12,1558.19,1659.9,1557.62,1574.84,139701,18626,2018-01-12,2024-11-15,45,True,0.16,0.52,False,True,False,False,False,True,2025-Q2,True
