supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,overdue_debt_ratio,debt_to_revenue_ratio,payment_default_last_3y,has_export_documentation,requires_full_upfront_payment,site_visit_verified,exports_to_eu,has_emissions_reporting_capability,period
SUP030,HAYRIOĞLU KARADENIZ LOJISTIK LTD. ŞTI.,LOJISTIK,denizli,Küçük,2014,17.0,3748467739,"72.842.502,62","3.900.357,41",15,5.0,171.11,222.79,250.60,235.01,5264,77.0,05.06.2020,23.02.2026,90.0,0,,0.23,hayır,true,No,evet,hayır,0,2025-Q4
SUP032,Aslan Erdoğan İplik San. ve Tic. A.Ş.,Tekstil,i̇stanbul,Medium,1981,184.0,8026217457,"922.087.151,04","55.138.700,07",84,5.0,570.61,"529,78",545.35,534.63,111256,11983.0,2022-01-22,2025-07-18,90.0,false,"0,36",,Hayır,1,false,Yes,hayır,,2025-Q2
SUP029,  Şener Sezer Çelik Ltd. Şti.  ,Metal ve Çelik,Tekirdağ,Small,,10.0,9760385974,39682329.72,"7.031.478,53",51,10.0,330.00,,"385,39",411.67,2160,249.0,14/04/2021,2026-08-29,,No,"0,30","0,51",No,1,0,EVET,No,false,2025-Q2
SUP043,TARHAN ŞAFAK ELEKTRIK TIC.,  Elektronik  ,Kayseri,KÜÇÜK,1985,21.0,3961201837,79068927.87,"13.187.055,48",37,11.0,"242,25","236,86",225.02,"215,71",14347,1362.0,01/06/2019,2026-05-18,90.0,HAYIR,0.19,"0,65",false,Yes,hayır,Evet,0,Yes,2025-Q1
SUP042,Demir Manço Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,  Manisa  ,Küçük,2004.0,32.0,2983273157,77013007.23,7884853.98,15,3.0,196.79,"181,64",198.35,232.17,2193,229.0,2017-06-29,2026-07-10,60.0,1,"0,09",0.19,false,false,,1,hayır,false,2025-Q2
SUP062,Ülker Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Adana,Micro,2010,6.0,6625881534,"3.369.894,07",454314.63,19,8.0,"124,61",127.69,126.83,121.05,2612,206.0,2018-10-31,18.12.2024,90.0,No,0.13,,No,,0,true,Evet,No,2025-Q3
SUP012,  Manço Bilir Kimya Ltd. Şti.  ,Kimya,Adana,KÜÇÜK,1994.0,37.0,3045053310,"21.773.769,46","4.895.514,18",13,4.0,140.88,133.72,156.20,"149,88",568,175.0,25-06-22,13.04.2025,60.0,false,0.12,"0,31",0,Yes,0,EVET,false,hayır,2025-Q3
SUP024,Arsoy Yapı Ltd. Şti.,Insaat Malzemeleri,Kocaeli,Küçük,2002,47.0,9941343523,"73.256.944,80","5.943.152,50",54,23.0,143.52,130.90,"162,90","154,36",7696,1613.0,24.11.2022,2025-01-14,60.0,Yes,0.13,0.50,hayır,hayır,0,Hayır,HAYIR,hayır,2025-Q4
SUP083,Bilge Sakarya Mobilya San. ve Tic. A.Ş.,  Mobilya  ,Gaziantep,ORTA,1985,194.0,4968562187,166913253.93,"19.734.339,64",99,20.0,"101,96","99,62",122.73,92.65,41600,11443.0,19/06/2022,24.05.2026,,Evet,0.05,"0,47",,evet,EVET,,0,hayır,2025-Q4
SUP026,Ihsanoglu Tarhan Yapi Ltd. Sti.,İnşaat Malzemeleri,Kocaeli,mikro,2021,2.0,3328120679,,546710.28,24,4.0,142.89,129.82,"136,03","126,74",4983,1181.0,26-03-21,2026-03-09,90.0,No,"0,25",,HAYIR,true,HAYIR,EVET,No,false,2025-Q1
SUP040,Yaman Zorlu Metal Ltd. Şti.,Metal ve Çelik,eskişehir,küçük,2018,29.0,8007661779,21408268.93,,11,4.0,105.25,"123,73",119.17,122.26,3170,673.0,07/11/2022,2025-02-27,30.0,false,0.16,1.00,hayır,Hayır,No,EVET,false,0,2025-Q2
SUP052,sakarya gıda san. ve tic. a.ş.,Gıda ve İçecek,i̇stanbul,ORTA,2003,139.0,1606853619,886705250.55,"76.798.116,04",59,25.0,754.72,"743,53","719,43",813.66,17715,854.0,30/04/2025,19.08.2026,60.0,Yes,"0,09",0.39,0,Evet,0,Yes,0,true,2025-Q3
SUP007,Akar Demirel Makine İmalat Ltd. Şti.,Makine İmalat,Balıkesir,MİKRO,2013,4.0,2165667019,"9.101.490,12",3158584.00,24,14.0,54.58,51.78,49.54,"49,80",534,47.0,2017-02-21,19.11.2025,30.0,HAYIR,0.21,"0,35",Yes,false,EVET,Hayır,Hayır,0,2025-Q4
SUP071,Demirel Makine İmalat Tic.,Makine İmalat,Eskişehir,KÜÇÜK,1991,21.0,3753046371,26757916.22,4958912.82,42,22.0,104.21,95.31,87.07,75.53,10265,1113.0,24.10.2016,2024-11-04,60.0,HAYIR,0.28,0.28,0,evet,0,0,Hayır,Hayır,2025-Q2
SUP025,ÜLKER KIMYA LTD. ŞTI.,Kimya,KOCAELI,Küçük,1992,14.0,7719022941,,"3.951.609,49",11,3.0,229.79,213.63,219.13,209.79,1441,134.0,2022-09-26,2025-02-19,30.0,,"0,14",0.45,No,true,0,Evet,hayır,hayır,2025-Q2
SUP003,korutürk makine i̇malat san. tic. ltd. şti.,makine i̇malat,Kocaeli,Orta,1995,152.0,5139537675,"671.480.459,38","55.562.250,81",131,48.0,134.23,149.15,"168,79","161,74",95289,2163.0,2018-06-08,17/02/2026,45.0,,"0,11",0.07,hayır,true,evet,Yes,hayır,Evet,2025-Q3
SUP034,Şensoy Soylu Mobilya Tic.,Mobilya,,küçük,,28.0,9212594648,"25.756.241,96",4615780.06,51,12.0,"95,76",93.74,,"82,08",14353,2022.0,17-01-22,,90.0,HAYIR,"0,17","0,11",0,Evet,Hayır,Evet,0,false,2025-Q2
SUP071,Demirel Makine İmalat Tic.,MAKINE İMALAT,eskişehir,küçük,1991.0,21.0,3753046371,26757916.22,5870382.43,46,30.0,101.31,"95,34","94,56","68,05",9771,1036.0,24.10.2016,04-11-24,60.0,Hayır,0.31,0.15,hayır,1,No,hayır,false,hayır,2025-Q4
SUP012,Manco Bilir Kimya Ltd. Sti.,Kimya,ADANA,KÜÇÜK,1994,37.0,3045053310,21773769.46,4870864.67,14,4.0,142.09,"141,01","164,16",,572,207.0,25-06-22,2025-04-13,60.0,No,"0,15","0,31",false,EVET,Hayır,evet,false,HAYIR,2025-Q4
SUP010,Sezgin Mobilya Holding A.Ş.,Mobilya,Konya,Büyük,1998,547.0,1799118380,5335670572.32,194441806.16,226,10.0,3023.66,"2.816,31","2.876,76",2973.56,687040,111563.0,2016-10-20,2026-04-22,60.0,Evet,,0.39,HAYIR,Evet,0,Yes,HAYIR,Evet,2025-Q1
SUP026,Ihsanoglu Tarhan Yapi Ltd. Sti.,İnşaat Malzemeleri,Kocaeli,mikro,2021,2.0,3328120679,2644027.80,"531.106,58",25,3.0,"129,26","132,11","125,86",126.00,5664,,2021-03-26,,90.0,hayır,0.16,"0,29",No,true,false,1,0,Hayır,2025-Q4
SUP056,hayrioğlu soylu nakliyat grup a.ş.,  Lojistik  ,Denizli,Large,1961,2282.0,8584161691,5528303491.61,"146.269.607,17",342,101.0,"293,75","289,30",296.10,"292,74",345618,339.0,2016-09-13,19/12/2025,45.0,1,,0.31,No,Evet,hayır,Yes,false,true,2025-Q1
SUP081,Gül Yorulmaz Konfeksiyon Ltd. Şti.,Tekstil,samsun,KÜÇÜK,2012.0,21.0,2182339848,65486742.50,"9.395.889,63",47,2.0,,"245,56",,,11717,739.0,20-08-24,,60.0,HAYIR,0.16,0.50,hayır,0,0,hayır,No,HAYIR,2025-Q2
SUP035,Çamurcuoğlu Şensoy Yapı Tic.,İNŞAAT MALZEMELERI,Ankara,Mikro,2007,6.0,4394210472,"5.933.265,58","1.420.553,48",20,1.0,55.64,52.59,50.46,"62,01",1037,130.0,2023-06-04,29-07-26,30.0,hayır,"0,20",0.97,hayır,,hayır,,No,Hayır,2025-Q2
SUP060,Gul Icecek San. ve Tic. A.S.,Gıda ve İçecek,  Çorum  ,BÜYÜK,1999,2508.0,3268018242,7997165307.54,"503.950.290,11",132,12.0,1558.19,"1.659,90",1557.62,"1.574,84",139701,18626.0,2018-01-12,15.11.2024,45.0,1,"0,16",0.52,No,Evet,hayır,false,No,Evet,2025-Q2
SUP006,Tevetoglu Otomotiv Tic.,  Otomotiv Yan Sanayi  ,Eskişehir,küçük,2008.0,,9713315090,"21.555.231,80",2855362.48,55,25.0,312.62,334.83,"328,48",338.03,9462,1434.0,2020-08-25,07-10-25,45.0,0,0.16,"0,51",No,Yes,No,Evet,1,No,2025-Q2
SUP024,Arsoy Yapi Ltd. Sti.,İNŞAAT MALZEMELERI,Kocaeli,Küçük,2002.0,47.0,9941343523,73256944.80,"6.668.943,56",59,29.0,142.64,126.79,145.33,"139,71",9111,1431.0,24.11.2022,14/01/2025,60.0,1,"0,14",0.63,Hayır,0,0,,0,0,2025-Q2
SUP041,İnönü Gıda Ltd. Şti.,  Gıda ve İçecek  ,İSTANBUL,Küçük,2011,31.0,8661565458,66976905.19,"10.922.355,73",13,3.0,"124,36","100,34",105.03,113.11,2533,105.0,01.02.2025,,45.0,,0.24,"0,32",No,Yes,Hayır,EVET,No,Evet,2025-Q3
SUP055,Aksu Duran Kimya Grup A.Ş.,Kimya,Sakarya,büyük,1961,802.0,2704303056,3413617452.14,"221.233.294,43",105,3.0,"4.044,20","3.863,59",4251.87,,485191,,20.01.2023,25-04-26,60.0,true,"0,03",0.37,No,1,HAYIR,Evet,1,1,2025-Q2
SUP060,GÜL İÇECEK SAN. VE TIC. A.Ş.,Gıda ve İçecek,çorum,büyük,1999.0,2508.0,3268018242,"7.997.165.307,54",568681871.89,140,11.0,1495.80,"1.714,57","1.626,60",,128950,16256.0,12/01/2018,,45.0,EVET,"0,22","0,51",hayır,HAYIR,false,,,evet,2025-Q4
SUP007,Akar Demirel Makine İmalat Ltd. Şti.,Makine İmalat,BALIKESIR,MİKRO,2013,4.0,2165667019,9101490.12,3018187.29,24,16.0,"56,86","55,63",51.55,53.13,593,50.0,21-02-17,19.11.2025,30.0,0,0.17,0.28,1,No,evet,hayır,HAYIR,No,2025-Q3
