supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,overdue_debt_ratio,debt_to_revenue_ratio,payment_default_last_3y,has_export_documentation,requires_full_upfront_payment,site_visit_verified,exports_to_eu,has_emissions_reporting_capability
SUP079,Şafak Nakliyat Tic.,  Lojistik  ,İstanbul,Küçük,1994.0,11.0,5899642355,42368015.62,9499698.40,51,14.0,"137,47","135,27",149.82,151.83,6386,764.0,05-05-18,,45.0,No,"0,11","0,71",hayır,Evet,,,Hayır,Hayır
SUP001,KORUTÜRK ASLAN İPLIK SAN. TIC. LTD. ŞTI.,Tekstil,Trabzon,orta,2009,157.0,4794026545,"225.584.135,67","5.492.821,36",134,38.0,"322,41",313.40,"317,95",281.45,46048,6596.0,02.08.2018,29/09/2024,45.0,1,0.05,0.41,hayır,evet,No,0,EVET,EVET
SUP069,Şama Yıldırım Gıda San. Tic. Ltd. Şti.,Gıda ve İçecek,Manisa,ORTA,2001,217.0,8434540195,315353859.35,,53,8.0,857.98,878.56,844.22,"817,45",90698,3841.0,07/07/2020,29-10-24,45.0,No,,"0,88",hayır,true,0,1,0,No
SUP023,  Karadeniz Demir Çelik Tic.  ,Metal ve Çelik,VAN,Small,2000,40.0,8701436349,"81.804.912,11",8579252.98,21,8.0,105.75,"101,81","97,31",100.70,8488,872.0,28.05.2024,16/01/2026,,Hayır,"0,18",0.70,No,Yes,No,false,HAYIR,Yes
SUP013,ÇORLU İNŞAAT MALZEMELERI SAN. TIC. LTD. ŞTI.,İnşaat Malzemeleri,Şanlıurfa,ORTA,1981,147.0,1733754337,936892914.12,122774942.18,119,18.0,253.32,"249,48","230,80",253.41,108235,7620.0,2022-06-02,28-11-24,30.0,No,0.05,"0,26",Hayır,evet,0,Hayır,Hayır,hayır
SUP083,BILGE SAKARYA MOBILYA SAN. VE TIC. A.Ş.,Mobilya,gaziantep,orta,1985,194.0,4968562187,166913253.93,"23.298.064,68",100,22.0,108.11,"103,90","104,42","101,49",45532,8815.0,19.06.2022,24.05.2026,60.0,evet,0.08,"0,36",,evet,1,true,No,hayır
SUP011,Safak Otomotiv Ltd. Sti.,Otomotiv Yan Sanayi,konya,Small,1994.0,27.0,5935348749,49436611.57,,25,5.0,121.71,126.72,114.46,111.22,6554,938.0,30.05.2019,06.03.2026,30.0,EVET,0.17,"0,24",Hayır,Evet,hayır,EVET,,Hayır
SUP019,Akar Insaat Malzemeleri Ltd. Sti.,İnşaat Malzemeleri,i̇zmir,Small,2012,41.0,1656272985,72597068.78,15861083.60,34,11.0,247.21,,252.64,270.52,13112,2592.0,05/11/2022,2025-12-02,30.0,Hayır,"0,13",0.21,Hayır,EVET,,1,hayır,Hayır
SUP005,Bilir Kimya Ltd. Şti.,  Kimya  ,manisa,Small,,10.0,6701543031,95843433.48,21343148.67,37,,"188,85",196.48,193.45,189.18,3091,358.0,,21.11.2024,30.0,1,0.26,"0,07",Hayır,true,Evet,1,hayır,HAYIR
SUP067,Akçay İnşaat Malzemeleri Tic.,Insaat Malzemeleri,tekirdağ,Küçük,2014,44.0,6854973341,"79.747.507,16","18.542.460,44",54,6.0,,177.74,"183,46",196.51,3840,622.0,2023-01-17,,60.0,Hayır,"0,19",0.64,0,Evet,true,hayır,No,HAYIR
