sector,sector_hhi,supplier_count,total_purchase_volume_tl,concentration_level
Gıda ve İçecek,6801.632984697272,7,579314064.28,High
Plastik ve Kauçuk,6571.9055144819895,4,53478006.06,High
Elektronik,5123.064416124838,3,254383261.76000002,High
İnşaat Malzemeleri,4957.096366373021,7,179069679.62,High
Ambalaj,4429.676780459009,6,155063400.26,High
Mobilya,4190.8056075910945,10,307271109.99,High
Lojistik,3929.409774668758,6,1105439365.99,High
Kimya,3906.26400116098,8,428883633.31,High
Metal ve Çelik,3854.2442426673097,10,139674592.34,High
Makine İmalat,3790.392067990329,7,131700582.38,High
Tekstil,2894.1101688245203,5,151041197.11,High
Otomotiv Yan Sanayi,2846.839056724897,12,257765249.84,High
