supplier_id,company_name,sector,city,company_size,delivery_delay_rate,price_volatility,supplier_dependency_ratio,quality_return_rate,delivery_delay_rate_score,price_volatility_score,supplier_dependency_ratio_score,quality_return_rate_score,risk_score,risk_level,has_estimated_inputs
SUP017,Kisakürek Çorlu İçecek Grup A.Ş.,Gıda ve İçecek,İzmir,Large,0.3441,0.0656,0.1563,0.1167,63.3,47.8,98.5,16.3,61.2,High,False
SUP082,Gülen Mobilya Holding A.Ş.,Mobilya,Ankara,Large,0.2197,0.0981,0.1587,0.1152,40.4,72.3,100.0,16.1,59.6,High,True
SUP034,Şensoy Soylu Mobilya Ltd. Şti.,Mobilya,Kocaeli,Small,0.4595,0.1349,0.0012,0.2141,84.5,100.0,0.7,30.0,59.2,High,True
SUP063,Ülker Tekstil Ltd. Şti.,Tekstil,Trabzon,Small,0.4474,0.0518,0.0069,0.7121,82.3,37.4,4.3,100.0,54.2,High,True
SUP058,Karadeniz Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Gaziantep,Micro,0.4615,0.0716,0.0001,0.217,84.9,52.4,0.0,30.4,47.4,High,False
SUP026,İhsanoğlu Tarhan İnşaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,İzmir,Small,0.4444,0.0668,0.0034,0.1309,81.7,48.7,2.1,18.3,44.0,High,True
SUP070,Sama Yildirim Yapi Ltd. Şti.,İnşaat Malzemeleri,Ankara,Micro,0.52,0.0384,0.0006,0.1584,95.6,27.3,0.3,22.1,43.7,High,False
SUP045,Eraslan Durmuş İnşaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,Eskişehir,Small,0.45,0.0724,0.0032,0.0396,82.7,52.9,1.9,5.4,43.5,High,False
SUP031,Alemdar İnşaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,Sakarya,Small,0.5439,0.0229,0.0022,0.126,100.0,15.7,1.3,17.6,41.9,High,False
SUP037,Durmuş Kimyasal Ürünler Tic.,Kimya,Konya,Small,0.4762,0.034,0.0067,0.0924,87.6,24.0,4.1,12.9,39.6,High,True
SUP029,Şener Holding A.Ş.,Ambalaj,İstanbul,Large,0.3462,0.0444,0.0493,0.0699,63.6,31.8,31.1,9.7,39.4,High,False
SUP075,Soylu Çelik San. ve Tic. A.Ş.,Metal ve Çelik,Van,Medium,0.4884,0.0368,0.0013,0.0317,89.8,26.1,0.8,4.3,38.8,High,False
SUP040,Soylu Taşımacılık San. ve Tic. A.Ş.,Lojistik,Gaziantep,Large,0.1598,0.0824,0.0775,0.0381,29.4,60.5,48.8,5.2,38.4,High,False
SUP047,Akgündüz Gıda San. ve Tic. A.Ş.,Gıda ve İçecek,İstanbul,Large,0.2165,0.0704,0.0708,0.0206,39.8,51.4,44.6,2.8,38.3,Medium,False
SUP012,Manço Bilir Lojistik San. Tic. Ltd. Şti.,Lojistik,İzmir,Medium,0.3306,0.0656,0.0036,0.1969,60.8,47.8,2.2,27.6,37.9,Medium,False
SUP052,Sakarya Bilge Makine İmalat Ltd. Şti.,Makine İmalat,Kocaeli,Small,0.2143,0.1067,0.0022,0.1761,39.4,78.8,1.4,24.6,37.5,Medium,True
SUP073,Akçay Türk Karton Ltd. Şti.,Ambalaj,Gaziantep,Small,0.1765,0.1219,0.0025,0.1442,32.4,90.2,1.5,20.1,37.3,Medium,False
SUP038,Zengin Şafak Yapı Tic.,İnşaat Malzemeleri,İzmir,Micro,0.4286,0.0313,0.0003,0.1927,78.8,22.0,0.1,27.0,37.2,Medium,False
