supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,overdue_debt_ratio,debt_to_revenue_ratio,payment_default_last_3y,has_export_documentation,requires_full_upfront_payment,site_visit_verified,period,vkn_valid,delivery_delay_rate,price_volatility,supplier_dependency_ratio,quality_return_rate,has_estimated_inputs,delivery_delay_rate_score,price_volatility_score,supplier_dependency_ratio_score,quality_return_rate_score,risk_score,risk_level,financial_risk_score,financial_risk_has_estimated_inputs,financial_risk_level
SUP043,Erdoğan Kısakürek Makine İmalat Tic.,Makine İmalat,Bursa,Small,1988.0,40.0,7617711195,42583507.64,6839189.14,14,3.0,195.83,193.86,195.57,209.73,8302,1466.0,2023-11-16,2025-12-17,45.0,True,0.11,0.41,False,True,False,True,2025-Q1,False,0.21428571428571427,0.037100493748590195,0.0029219668998001365,0.17658395567333174,False,38.57142857142857,26.663420104185438,0.04324921613323822,12.378435557694223,22.0,Low,19.3,False,Low
SUP026,Şener Aksu Demir Çelik San. ve Tic. A.Ş.,Metal ve Çelik,Çorum,Medium,1987.0,125.0,4524082408,,28232834.33,55,10.0,605.31,634.28,590.93,600.42,107370,12490.0,2017-11-27,2025-12-27,30.0,False,0.34,0.4,False,True,False,True,2025-Q1,True,0.18181818181818182,0.030731321206727197,0.012062162006503736,0.11632672068548011,False,32.72727272727273,21.459933535320502,0.7373330692399139,8.090937869586881,18.2,Low,39.9,True,High
SUP010,Şafak Mobilya Tic.,Mobilya,Kayseri,Micro,2007.0,1.0,2699854355,5545698.29,371916.01,20,6.0,186.6,190.91,180.79,182.46,4219,628.0,2019-05-30,2026-03-06,45.0,False,0.14,0.54,False,True,True,False,2025-Q1,True,0.3,0.024452760066035528,0.00015889694647715748,0.14885043849253377,False,53.99999999999999,16.33047466877985,0.00010830030231946477,10.405105868409123,24.5,Low,25.9,True,Low
SUP056,İhsanoğlu Gida San. ve Tic. A.Ş.,Gıda ve İçecek,Ankara,Medium,1984.0,161.0,2375060682,886705250.55,77707039.19,72,1.0,805.88,769.43,756.47,679.63,16839,2314.0,2017-01-09,2024-12-05,60.0,True,0.14,0.16,False,True,False,True,2025-Q1,True,0.013888888888888888,0.07054224997709747,0.03319946147806815,0.13741908664410002,False,2.5,53.984666032215124,5.585801838192667,9.591728111663688,17.2,Low,14.5,True,Low
SUP040,Çorlu İnönü Lojistik San. ve Tic. A.Ş.,Lojistik,Denizli,Medium,1981.0,110.0,9267586926,156895337.04,19665222.19,81,31.0,280.0,,248.63,237.17,89964,3149.0,2025-05-12,2025-09-28,90.0,False,0.12,0.62,False,True,,,2025-Q1,True,0.38271604938271603,0.08686160183849605,0.008401745753794895,0.03500289004490685,True,68.88888888888887,67.31725007907937,0.35771749729471425,2.3044835802424273,41.4,High,26.5,False,Low
SUP079,Ülker Şafak Plastik Tic.,Plastik ve Kauçuk,Gaziantep,Small,1986.0,35.0,5039106517,,2587372.82,23,1.0,229.93,238.15,242.03,246.44,12245,1618.0,2018-04-19,2024-11-24,30.0,False,0.26,0.27,False,True,False,,2025-Q1,True,0.043478260869565216,0.029316261744547822,0.0011054260355610717,0.13213556553695385,False,7.826086956521738,20.303858259105446,0.006173107124437058,9.215788450035959,9.2,Low,28.7,False,Medium
SUP006,Yıldırım Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Kocaeli,Small,1995.0,26.0,9963834653,82609732.43,6830132.06,33,18.0,378.82,378.91,389.77,383.71,14896,2995.0,2025-04-16,,90.0,False,0.14,0.79,False,,True,True,2025-Q1,True,0.5454545454545454,0.013522051724330556,0.002918097363890673,0.2010606874328679,False,98.18181818181817,7.4003045924633355,0.04313469082171269,14.120034402257742,38.3,High,33.4,False,Medium
SUP077,Çetin Ambalaj Tic.,Ambalaj,Tekirdağ,Small,2017.0,29.0,2459332728,37175125.57,7027368.5,58,18.0,389.82,389.07,387.65,370.53,4874,202.0,2024-09-25,2025-03-17,90.0,False,0.14,0.56,True,True,False,False,2025-Q1,True,0.3103448275862069,0.023947994089656564,0.003002364422063364,0.041444398851046366,False,55.86206896551724,15.918090962537898,0.045663047785021366,2.7628178220942856,24.0,Low,66.5,False,High
SUP085,Şafak Nakliyat Ltd. Şti.,Lojistik,Sakarya,Small,1987.0,46.0,4204899647,42368015.62,9499698.4,51,16.0,135.51,135.57,,139.39,6386,1412.0,2024-04-28,2024-12-27,45.0,False,0.23,0.38,False,True,False,True,2025-Q1,True,0.3137254901960784,0.016247235909995758,0.004058639659567057,0.22110867522705918,True,56.470588235294116,9.626725562312615,0.08346102297377629,15.54651375093892,24.5,Low,29.3,False,Medium
SUP004,Şafak Türk Plastik Ltd. Şti.,Plastik ve Kauçuk,,Small,1988.0,17.0,3269166979,32196475.69,4942190.88,39,6.0,117.76,117.33,107.35,114.06,2840,380.0,2018-03-04,2025-12-12,60.0,False,0.22,0.4,False,True,False,True,2025-Q1,True,0.15384615384615385,0.04214124274281285,0.002111495656611437,0.13380281690140844,False,27.692307692307693,30.781611206099726,0.0225749821717789,9.334418791637827,18.8,Low,29.0,True,Medium
